failed_logins,requests_per_minute,records_accessed,unique_endpoints,session_duration_min,device_changes,error_rate,unusual_access_time,endpoint_enumeration,attack_label
0,13,3,6,22,0,0.023,0,0,benign
7,80,22,17,16,1,0.179,0,1,reconnaissance
0,17,2,4,57,0,0.04,0,0,benign
13,66,24,27,13,1,0.167,1,1,reconnaissance
39,28,11,7,5,2,0.28,1,0,brute_force
7,147,23,18,10,1,0.156,0,1,reconnaissance
0,17,1,3,22,0,0.037,0,0,benign
0,16,1,3,20,0,0.057,0,0,benign
0,9,1,4,37,0,0.011,0,0,benign
0,12,4,7,17,0,0.001,0,0,benign
7,77,16,23,12,2,0.258,1,1,reconnaissance
9,112,9,16,10,1,0.209,1,1,reconnaissance
4,314,62,29,2,3,0.28,1,1,suspicious_data_access
26,58,13,6,3,0,0.546,1,0,brute_force
18,107,16,18,20,1,0.096,0,1,reconnaissance
14,85,9,27,11,1,0.114,0,1,reconnaissance
1,9,1,4,34,0,0.009,0,0,benign
15,361,123,30,2,2,0.314,0,1,suspicious_data_access
0,13,3,5,30,0,0.008,0,0,benign
0,15,3,4,49,0,0.001,0,0,benign
1,15,2,2,32,1,0.004,0,0,benign
0,10,3,6,24,0,0.02,0,0,benign
0,10,1,1,18,1,0.015,0,0,benign
17,87,18,11,8,1,0.257,0,1,reconnaissance
0,12,2,1,27,0,0.01,0,0,benign
0,13,2,2,36,0,0.004,0,0,benign
0,15,1,5,47,0,0.02,0,0,benign
0,15,2,3,20,0,0.014,0,0,benign
10,255,84,34,5,3,0.183,1,1,suspicious_data_access
12,73,44,18,14,1,0.243,1,1,reconnaissance
0,9,4,5,29,0,0.012,0,0,benign
0,3,2,5,22,0,0.01,0,0,benign
0,6,3,4,39,0,0.038,0,0,benign
1,17,6,5,33,0,0.013,1,0,benign
52,43,9,3,9,2,0.318,1,0,brute_force
7,119,13,20,16,2,0.299,1,1,reconnaissance
1,17,4,2,42,0,0.013,0,0,benign
8,337,92,37,5,2,0.263,1,1,suspicious_data_access
0,16,3,5,46,0,0.03,0,0,benign
0,21,3,3,27,1,0.005,0,0,benign
9,160,149,31,2,2,0.31,1,1,suspicious_data_access
7,76,16,15,5,1,0.215,1,1,reconnaissance
1,16,2,5,33,0,0.002,0,0,benign
0,10,1,4,17,0,0.003,0,0,benign
0,14,3,3,18,0,0.001,1,0,benign
0,16,2,3,33,0,0.021,0,0,benign
2,24,5,2,40,0,0.052,0,0,benign
0,11,1,3,19,0,0.012,0,0,benign
5,203,137,25,3,2,0.195,1,1,suspicious_data_access
4,369,135,20,7,3,0.255,1,1,suspicious_data_access
10,152,28,13,8,1,0.181,1,1,reconnaissance
0,22,1,3,35,0,0.006,0,0,benign
6,304,54,28,8,2,0.266,0,1,suspicious_data_access
46,59,10,9,7,2,0.75,1,1,brute_force
6,98,27,18,6,2,0.267,1,1,reconnaissance
7,137,15,22,14,2,0.202,0,1,reconnaissance
0,15,1,4,42,0,0.02,0,0,benign
7,267,100,18,2,3,0.384,1,1,suspicious_data_access
43,62,17,6,3,0,0.558,1,1,brute_force
0,15,3,5,16,0,0.048,0,0,benign
0,11,5,5,24,0,0.017,0,0,benign
0,15,2,1,40,0,0.001,1,0,benign
0,4,2,2,24,0,0.022,0,0,benign
43,61,15,9,8,1,0.387,1,0,brute_force
20,185,21,14,14,1,0.192,0,1,reconnaissance
1,12,2,3,19,0,0.008,0,0,benign
11,129,17,10,12,1,0.123,0,1,reconnaissance
12,184,66,42,2,3,0.123,1,1,suspicious_data_access
2,12,2,1,56,0,0.018,0,0,benign
0,11,1,5,18,0,0.007,0,0,benign
61,37,14,5,15,1,0.393,0,0,brute_force
4,234,112,23,5,4,0.26,1,1,suspicious_data_access
0,6,1,5,41,0,0.004,0,0,benign
71,42,4,7,4,1,0.569,0,0,brute_force
57,62,13,10,6,0,0.706,1,0,brute_force
8,278,70,32,4,2,0.219,1,1,suspicious_data_access
49,53,12,5,5,1,0.701,1,0,brute_force
0,20,3,4,25,0,0.001,1,0,benign
22,42,18,7,7,1,0.718,0,0,brute_force
0,15,2,4,31,0,0.016,0,0,benign
14,118,29,14,16,1,0.144,0,1,reconnaissance
8,450,142,23,6,2,0.285,1,1,suspicious_data_access
0,11,4,3,26,1,0.001,0,0,benign
8,116,29,27,19,1,0.223,0,1,reconnaissance
14,165,12,17,13,2,0.178,1,1,reconnaissance
2,14,3,3,23,0,0.003,0,0,benign
0,3,4,3,39,0,0.043,0,0,benign
1,10,5,3,40,0,0.027,0,0,benign
0,4,4,3,25,0,0.02,0,0,benign
12,103,13,18,20,1,0.223,0,1,reconnaissance
54,34,4,7,3,2,0.28,1,1,brute_force
0,8,1,1,44,0,0.005,0,0,benign
8,118,14,23,5,1,0.153,0,1,reconnaissance
0,3,1,4,14,0,0.012,0,0,benign
56,62,15,6,3,1,0.456,1,1,brute_force
12,284,137,20,3,3,0.254,1,1,suspicious_data_access
41,55,6,7,5,2,0.509,1,0,brute_force
12,213,89,31,5,2,0.298,1,1,suspicious_data_access
3,142,9,13,5,1,0.153,1,1,reconnaissance
13,96,16,14,12,1,0.251,1,1,reconnaissance
0,18,1,1,24,1,0.022,0,0,benign
10,142,25,21,12,1,0.156,0,1,reconnaissance
4,329,130,32,3,3,0.306,1,1,suspicious_data_access
10,126,24,19,13,1,0.182,0,1,reconnaissance
5,155,29,18,22,1,0.221,1,1,reconnaissance
2,11,4,3,37,0,0.029,0,0,benign
2,9,4,4,16,0,0.032,0,0,benign
8,125,20,19,5,1,0.127,0,1,reconnaissance
4,133,34,18,7,2,0.182,0,1,reconnaissance
0,5,2,2,29,1,0.004,0,0,benign
62,70,9,8,9,0,0.75,1,0,brute_force
0,15,1,2,23,0,0.038,0,0,benign
4,347,139,31,3,2,0.155,1,1,suspicious_data_access
0,10,1,3,27,0,0.001,0,0,benign
14,170,27,17,18,1,0.32,1,1,reconnaissance
0,17,3,2,29,0,0.013,0,0,benign
0,7,3,4,33,0,0.006,0,0,benign
0,5,2,3,29,0,0.004,0,0,benign
10,145,18,20,10,2,0.097,1,1,reconnaissance
28,59,8,6,11,1,0.457,1,0,brute_force
15,385,101,30,6,3,0.259,1,1,suspicious_data_access
0,19,3,4,17,0,0.001,0,0,benign
10,173,12,10,15,2,0.174,0,1,reconnaissance
41,37,8,10,6,1,0.418,0,0,brute_force
2,15,3,5,43,0,0.016,1,0,benign
12,151,21,15,12,1,0.181,1,1,reconnaissance
0,9,5,2,51,0,0.004,0,0,benign
11,309,103,33,5,3,0.255,1,1,suspicious_data_access
0,12,3,2,33,0,0.006,0,0,benign
7,60,32,16,12,2,0.177,1,1,reconnaissance
1,15,1,1,10,1,0.005,0,0,benign
1,12,3,3,23,0,0.004,0,0,benign
2,6,4,6,23,0,0.017,0,0,benign
59,58,12,7,4,2,0.394,1,1,brute_force
22,41,10,7,11,1,0.438,0,0,brute_force
11,276,85,32,8,3,0.208,1,1,suspicious_data_access
0,13,1,1,14,0,0.001,0,0,benign
10,282,134,25,2,4,0.286,1,1,suspicious_data_access
14,166,12,17,14,1,0.224,1,1,reconnaissance
1,11,3,4,27,0,0.007,0,0,benign
3,118,17,22,15,1,0.21,1,1,reconnaissance
1,13,6,5,21,0,0.014,0,0,benign
0,3,3,5,29,0,0.003,0,0,benign
48,71,4,7,6,0,0.555,1,0,brute_force
16,311,50,36,2,3,0.349,1,1,suspicious_data_access
36,48,7,7,3,1,0.536,1,0,brute_force
11,101,21,24,13,1,0.284,0,1,reconnaissance
2,11,3,4,28,0,0.022,0,0,benign
0,9,3,4,35,0,0.001,0,0,benign
3,119,26,22,11,1,0.165,0,1,reconnaissance
0,13,2,6,44,0,0.021,0,0,benign
0,11,2,3,20,0,0.022,0,0,benign
16,384,85,18,2,3,0.244,1,1,suspicious_data_access
0,13,1,2,23,0,0.009,0,0,benign
9,275,149,34,4,2,0.448,1,1,suspicious_data_access
44,72,12,3,10,2,0.316,1,1,brute_force
57,58,11,4,5,2,0.607,1,1,brute_force
1,8,1,4,38,0,0.017,0,0,benign
4,348,102,34,8,3,0.222,1,1,suspicious_data_access
0,16,5,2,25,0,0.02,0,0,benign
8,282,74,21,5,3,0.218,1,1,suspicious_data_access
15,60,26,24,11,2,0.265,0,1,reconnaissance
9,67,21,13,8,2,0.117,0,1,reconnaissance
8,112,29,14,17,2,0.256,0,1,reconnaissance
1,13,1,3,15,0,0.005,1,0,benign
0,8,2,4,37,0,0.008,0,0,benign
2,11,5,1,39,1,0.017,0,0,benign
0,9,1,2,29,0,0.002,0,0,benign
15,150,8,22,16,1,0.193,0,1,reconnaissance
11,123,23,30,9,1,0.138,0,1,reconnaissance
1,3,3,2,36,0,0.022,0,0,benign
0,11,1,3,29,0,0.007,0,0,benign
0,19,2,3,44,0,0.005,0,0,benign
1,9,1,4,29,1,0.024,0,0,benign
7,192,35,17,21,1,0.254,1,1,reconnaissance
1,10,1,3,33,0,0.013,0,0,benign
9,139,18,27,14,2,0.297,1,1,reconnaissance
9,97,21,18,14,1,0.206,0,1,reconnaissance
11,259,87,23,4,2,0.212,1,1,suspicious_data_access
45,53,6,6,3,1,0.562,1,1,brute_force
0,11,2,1,51,0,0.02,0,0,benign
0,6,2,4,41,0,0.012,0,0,benign
37,27,13,5,4,0,0.495,1,0,brute_force
2,7,2,1,26,0,0.006,0,0,benign
0,7,3,4,21,0,0.013,0,0,benign
33,53,8,8,7,0,0.381,1,0,brute_force
0,12,1,6,39,0,0.048,0,0,benign
0,9,4,3,19,0,0.007,0,0,benign
0,6,3,3,14,0,0.009,0,0,benign
0,17,2,5,24,0,0.003,0,0,benign
0,6,3,4,32,0,0.01,0,0,benign
0,9,2,3,40,0,0.001,0,0,benign
52,55,11,6,6,1,0.384,1,0,brute_force
1,17,4,5,33,0,0.031,0,0,benign
1,13,5,5,33,0,0.008,0,0,benign
0,3,1,4,22,0,0.048,0,0,benign
0,15,4,2,24,0,0.014,0,0,benign
0,7,5,3,35,0,0.024,0,0,benign
2,14,1,3,33,0,0.003,0,0,benign
8,279,87,27,4,3,0.201,1,1,suspicious_data_access
2,10,1,7,31,0,0.027,0,0,benign
2,15,2,4,34,0,0.026,0,0,benign
4,302,118,30,4,4,0.426,1,1,suspicious_data_access
1,10,3,3,24,0,0.016,0,0,benign
0,19,3,4,23,0,0.001,0,0,benign
1,17,5,3,43,0,0.002,0,0,benign
22,76,10,9,5,1,0.421,1,0,brute_force
5,285,50,31,7,2,0.166,1,1,suspicious_data_access
31,81,6,10,9,2,0.428,1,0,brute_force
8,87,12,23,6,1,0.261,0,1,reconnaissance
13,210,8,16,15,2,0.149,1,1,reconnaissance
0,3,1,5,22,1,0.042,0,0,benign
13,193,94,37,4,3,0.302,1,1,suspicious_data_access
0,14,5,3,38,0,0.01,0,0,benign
0,11,1,2,20,0,0.024,0,0,benign
0,9,2,4,25,0,0.011,0,0,benign
5,149,34,16,17,1,0.241,1,1,reconnaissance
0,16,1,5,27,0,0.0,0,0,benign
3,71,25,18,20,1,0.257,1,1,reconnaissance
11,119,18,23,11,1,0.209,0,1,reconnaissance
1,19,3,4,17,1,0.005,0,0,benign
0,15,1,4,38,0,0.046,0,0,benign
41,45,14,11,8,2,0.613,0,1,brute_force
22,72,9,5,4,1,0.386,1,0,brute_force
15,141,26,20,14,1,0.253,0,1,reconnaissance
1,15,4,3,23,0,0.005,1,0,benign
0,15,3,3,19,0,0.015,0,0,benign
42,33,15,6,9,1,0.581,0,0,brute_force
0,15,3,3,35,0,0.019,0,0,benign
7,111,13,21,8,1,0.185,1,1,reconnaissance
2,9,2,5,25,0,0.009,0,0,benign
12,172,27,14,15,2,0.183,1,1,reconnaissance
12,116,35,19,12,1,0.168,1,1,reconnaissance
14,327,78,28,4,4,0.28,1,1,suspicious_data_access
15,275,50,31,2,2,0.164,1,1,suspicious_data_access
1,6,1,3,26,0,0.024,0,0,benign
9,270,178,21,6,3,0.281,1,1,suspicious_data_access
8,286,69,40,6,3,0.394,1,1,suspicious_data_access
13,128,12,24,7,2,0.219,1,1,reconnaissance
0,15,3,4,35,0,0.005,1,0,benign
15,200,99,22,5,2,0.251,1,1,suspicious_data_access
10,145,30,19,10,1,0.183,1,1,reconnaissance
0,9,3,4,30,0,0.012,0,0,benign
0,25,1,3,25,0,0.001,1,0,benign
1,14,3,1,21,0,0.004,1,0,benign
13,147,25,23,12,2,0.112,1,1,reconnaissance
0,15,3,2,39,0,0.006,0,0,benign
0,10,5,3,40,0,0.034,0,0,benign
10,184,97,20,2,4,0.326,1,1,suspicious_data_access
72,35,7,12,10,0,0.28,0,0,brute_force
0,7,2,1,37,1,0.04,0,0,benign
0,11,1,2,37,0,0.004,1,0,benign
16,101,18,15,11,1,0.088,1,1,reconnaissance
1,17,4,2,41,0,0.005,0,0,benign
10,217,124,26,4,2,0.241,1,1,suspicious_data_access
66,67,8,6,11,0,0.672,1,1,brute_force
1,3,1,2,23,0,0.001,0,0,benign
49,62,16,6,4,1,0.538,1,0,brute_force
0,11,3,1,20,0,0.024,1,0,benign
6,141,23,20,13,2,0.151,0,1,reconnaissance
0,20,4,6,23,0,0.011,0,0,benign
11,136,23,17,6,1,0.134,1,1,reconnaissance
4,237,89,21,6,2,0.218,1,1,suspicious_data_access
71,53,15,7,6,1,0.28,0,0,brute_force
42,52,7,6,4,1,0.543,1,1,brute_force
11,120,13,23,16,1,0.211,0,1,reconnaissance
17,91,12,20,14,1,0.196,0,1,reconnaissance
0,10,5,4,28,0,0.006,0,0,benign
11,319,150,20,5,4,0.228,1,1,suspicious_data_access
0,12,3,7,27,0,0.002,0,0,benign
10,173,26,14,11,1,0.136,1,1,reconnaissance
52,37,13,11,10,1,0.48,0,0,brute_force
10,206,26,16,10,1,0.131,1,1,reconnaissance
8,221,123,23,6,3,0.434,1,1,suspicious_data_access
11,307,100,28,8,3,0.318,0,1,suspicious_data_access
3,21,2,3,18,0,0.011,1,0,benign
0,10,2,5,22,0,0.023,0,0,benign
13,119,13,14,11,1,0.091,0,1,reconnaissance
4,382,141,34,3,3,0.12,1,1,suspicious_data_access
0,3,1,4,18,1,0.003,0,0,benign
54,56,4,8,11,1,0.677,0,0,brute_force
3,122,15,22,8,2,0.153,1,1,reconnaissance
2,5,1,4,47,1,0.018,0,0,benign
0,13,1,4,15,0,0.009,0,0,benign
8,288,148,37,8,3,0.298,0,1,suspicious_data_access
7,117,23,22,15,2,0.161,1,1,reconnaissance
33,38,7,3,6,1,0.444,1,1,brute_force
14,250,86,31,4,4,0.313,1,1,suspicious_data_access
45,28,12,7,8,2,0.489,1,1,brute_force
0,7,4,4,28,0,0.004,0,0,benign
19,315,120,22,4,2,0.221,0,1,suspicious_data_access
4,302,83,41,5,2,0.266,1,1,suspicious_data_access
0,27,4,3,40,0,0.004,0,0,benign
6,250,128,35,4,3,0.246,1,1,suspicious_data_access
1,8,3,3,24,0,0.002,0,0,benign
52,62,8,7,11,1,0.539,0,0,brute_force
0,9,4,3,28,0,0.033,0,0,benign
12,68,17,27,18,2,0.103,1,1,reconnaissance
13,270,171,33,5,4,0.346,1,1,suspicious_data_access
17,107,19,25,14,1,0.237,0,1,reconnaissance
18,136,14,20,16,2,0.23,1,1,reconnaissance
0,11,2,3,39,0,0.036,0,0,benign
15,303,127,33,4,2,0.2,0,1,suspicious_data_access
30,72,10,4,9,0,0.436,0,0,brute_force
1,16,3,4,27,1,0.043,0,0,benign
0,17,2,5,12,0,0.016,1,0,benign
0,6,4,3,29,0,0.001,0,0,benign
0,9,2,3,31,0,0.002,0,0,benign
1,17,4,5,29,0,0.02,0,0,benign
0,11,3,2,20,0,0.015,0,0,benign
0,16,3,3,37,0,0.009,1,0,benign
0,12,3,3,26,0,0.016,0,0,benign
0,5,3,3,32,0,0.01,0,0,benign
0,7,2,2,39,0,0.004,0,0,benign
0,18,3,6,30,0,0.012,0,0,benign
8,332,93,32,3,2,0.241,1,1,suspicious_data_access
6,140,18,26,18,2,0.172,0,1,reconnaissance
0,18,1,6,25,0,0.022,0,0,benign
7,133,12,14,19,2,0.149,1,1,reconnaissance
15,69,17,14,9,1,0.166,0,1,reconnaissance
0,7,1,1,41,0,0.0,0,0,benign
0,19,4,5,27,0,0.009,0,0,benign
10,245,147,45,4,2,0.142,1,1,suspicious_data_access
0,18,3,4,25,0,0.012,0,0,benign
0,4,2,6,52,0,0.018,0,0,benign
41,45,13,6,4,2,0.317,1,1,brute_force
1,10,3,4,48,0,0.009,0,0,benign
33,42,4,5,8,1,0.415,1,0,brute_force
0,3,3,2,14,1,0.001,0,0,benign
2,9,3,1,18,0,0.011,0,0,benign
0,13,1,3,30,1,0.029,0,0,benign
0,14,1,5,14,0,0.006,0,0,benign
0,13,6,4,45,0,0.012,0,0,benign
0,10,2,5,22,0,0.011,0,0,benign
9,146,16,18,10,1,0.241,0,1,reconnaissance
9,117,20,18,5,1,0.181,0,1,reconnaissance
7,156,29,11,20,2,0.198,1,1,reconnaissance
5,357,154,22,2,2,0.283,1,1,suspicious_data_access
8,135,18,15,19,1,0.08,1,1,reconnaissance
1,17,2,2,33,0,0.011,0,0,benign
0,8,3,5,33,0,0.01,0,0,benign
0,13,1,5,29,0,0.005,0,0,benign
11,273,69,29,2,2,0.261,1,1,suspicious_data_access
7,101,22,26,11,2,0.129,1,1,reconnaissance
1,15,2,2,31,0,0.024,0,0,benign
2,15,1,5,31,0,0.011,0,0,benign
0,6,3,5,31,0,0.038,1,0,benign
0,14,1,4,20,0,0.004,0,0,benign
56,48,4,6,11,1,0.635,0,0,brute_force
10,363,112,24,4,3,0.328,1,1,suspicious_data_access
15,269,100,31,3,3,0.222,1,1,suspicious_data_access
11,217,123,29,5,3,0.336,0,1,suspicious_data_access
0,9,3,5,31,1,0.012,0,0,benign
53,64,8,6,7,2,0.308,1,1,brute_force
0,21,1,3,32,0,0.027,0,0,benign
46,43,11,6,10,1,0.486,1,1,brute_force
0,10,2,3,23,0,0.003,0,0,benign
1,17,1,4,10,0,0.023,0,0,benign
1,18,4,4,43,0,0.011,0,0,benign
0,5,2,3,33,0,0.019,0,0,benign
10,224,121,25,4,3,0.304,1,1,suspicious_data_access
9,334,99,26,7,3,0.238,1,1,suspicious_data_access
0,16,3,4,43,0,0.027,0,0,benign
0,14,1,4,26,0,0.005,0,0,benign
4,63,36,15,13,1,0.124,1,1,reconnaissance
14,148,25,23,13,1,0.087,1,1,reconnaissance
16,285,89,36,4,3,0.301,0,1,suspicious_data_access
0,17,2,5,36,0,0.009,0,0,benign
1,20,1,4,42,0,0.014,0,0,benign
0,9,5,3,30,0,0.009,0,0,benign
0,15,1,2,19,0,0.004,0,0,benign
1,9,1,5,40,1,0.004,0,0,benign
0,11,4,4,31,0,0.017,0,0,benign
5,235,120,30,4,3,0.333,1,1,suspicious_data_access
6,301,138,26,6,3,0.276,1,1,suspicious_data_access
80,60,13,6,6,1,0.503,1,0,brute_force
0,14,2,3,31,0,0.01,0,0,benign
0,18,2,1,33,0,0.002,0,0,benign
1,5,3,5,30,0,0.06,0,0,benign
10,142,8,10,15,1,0.08,0,1,reconnaissance
0,9,2,6,19,0,0.007,0,0,benign
13,137,8,20,20,1,0.08,1,1,reconnaissance
6,159,22,15,10,1,0.154,0,1,reconnaissance
0,13,2,4,15,0,0.004,0,0,benign
0,6,4,5,40,0,0.01,0,0,benign
54,61,10,11,4,1,0.43,1,0,brute_force
0,10,6,1,27,0,0.0,0,0,benign
28,55,5,6,10,2,0.377,0,0,brute_force
0,10,4,3,15,0,0.026,0,0,benign
0,10,2,6,15,0,0.005,0,0,benign
43,55,6,8,6,2,0.399,0,0,brute_force
11,114,12,25,17,2,0.118,1,1,reconnaissance
0,12,5,3,26,0,0.002,0,0,benign
60,82,9,6,6,2,0.665,1,0,brute_force
52,32,9,8,15,1,0.418,1,0,brute_force
10,299,123,24,10,2,0.387,1,1,suspicious_data_access
14,157,26,24,15,2,0.151,1,1,reconnaissance
6,388,86,32,7,4,0.319,1,1,suspicious_data_access
13,253,98,35,8,4,0.323,1,1,suspicious_data_access
29,49,4,7,11,0,0.485,0,0,brute_force
74,48,18,8,13,0,0.618,1,0,brute_force
10,315,91,36,5,2,0.305,1,1,suspicious_data_access
0,8,4,6,40,0,0.009,0,0,benign
0,12,2,4,35,0,0.0,0,0,benign
4,304,124,30,4,3,0.216,1,1,suspicious_data_access
2,14,5,5,33,0,0.015,0,0,benign
0,11,1,7,25,0,0.018,0,0,benign
0,12,5,1,38,0,0.012,0,0,benign
23,47,12,3,12,1,0.52,1,0,brute_force
11,167,20,19,18,1,0.103,1,1,reconnaissance
50,66,8,9,9,1,0.303,1,0,brute_force
1,7,5,3,29,0,0.001,0,0,benign
13,93,22,15,13,2,0.188,1,1,reconnaissance
9,114,14,20,7,2,0.219,1,1,reconnaissance
1,13,3,2,14,0,0.013,0,0,benign
59,52,11,7,7,1,0.386,1,1,brute_force
1,8,1,5,42,0,0.016,0,0,benign
5,301,128,30,7,2,0.283,1,1,suspicious_data_access
0,7,4,3,22,0,0.0,0,0,benign
28,48,18,7,8,0,0.666,1,0,brute_force
0,19,3,3,32,0,0.009,0,0,benign
0,3,3,2,35,0,0.009,0,0,benign
0,23,1,3,33,1,0.017,0,0,benign
0,13,4,3,30,0,0.009,0,0,benign
0,9,2,2,12,0,0.016,0,0,benign
0,7,3,5,11,1,0.012,0,0,benign
63,49,7,6,4,1,0.58,1,0,brute_force
1,3,4,3,28,0,0.018,0,0,benign
0,10,2,6,40,0,0.005,0,0,benign
0,6,2,3,16,0,0.037,0,0,benign
0,14,1,5,17,0,0.013,1,0,benign
9,266,116,28,4,4,0.211,1,1,suspicious_data_access
7,148,8,15,12,1,0.098,1,1,reconnaissance
0,13,2,4,37,0,0.013,0,0,benign
0,7,4,3,22,0,0.028,0,0,benign
0,12,1,3,30,0,0.011,0,0,benign
3,3,2,3,31,0,0.031,0,0,benign
8,212,73,28,5,3,0.209,1,1,suspicious_data_access
4,400,77,28,6,2,0.341,1,1,suspicious_data_access
0,7,2,4,20,0,0.002,0,0,benign
0,3,5,2,26,0,0.003,0,0,benign
0,16,5,3,16,0,0.011,0,0,benign
36,37,4,7,9,0,0.452,1,1,brute_force
0,5,2,7,20,0,0.007,0,0,benign
0,10,4,2,41,0,0.014,0,0,benign
0,6,3,4,16,0,0.04,0,0,benign
37,42,9,6,9,2,0.546,1,1,brute_force
15,109,28,16,10,1,0.198,0,1,reconnaissance
9,296,81,27,4,3,0.284,1,1,suspicious_data_access
42,57,8,9,4,2,0.677,1,0,brute_force
12,349,102,27,8,2,0.285,1,1,suspicious_data_access
50,59,4,9,4,1,0.624,1,0,brute_force
36,32,11,11,6,1,0.688,0,0,brute_force
55,67,9,7,6,2,0.593,1,1,brute_force
18,250,101,26,2,3,0.221,1,1,suspicious_data_access
5,122,37,21,14,2,0.205,1,1,reconnaissance
25,84,6,6,8,2,0.487,1,1,brute_force
3,9,1,3,33,0,0.001,0,0,benign
0,4,3,6,27,0,0.002,0,0,benign
1,10,2,5,31,0,0.028,0,0,benign
10,296,100,31,7,3,0.348,1,1,suspicious_data_access
10,253,106,28,4,3,0.278,0,1,suspicious_data_access
16,391,99,32,5,3,0.151,1,1,suspicious_data_access
12,294,88,36,2,3,0.275,1,1,suspicious_data_access
2,11,4,2,14,0,0.005,0,0,benign
9,219,101,31,6,3,0.286,1,1,suspicious_data_access
0,14,3,4,28,0,0.056,0,0,benign
19,102,16,20,11,1,0.213,1,1,reconnaissance
35,50,14,5,4,0,0.565,1,0,brute_force
0,10,2,4,23,0,0.045,0,0,benign
8,300,92,35,5,3,0.258,1,1,suspicious_data_access
0,9,1,3,27,0,0.014,0,0,benign
5,111,14,20,11,1,0.084,1,1,reconnaissance
0,18,1,4,25,0,0.002,0,0,benign
7,150,25,25,17,2,0.235,0,1,reconnaissance
0,9,4,5,27,1,0.056,0,0,benign
1,18,1,3,26,0,0.011,0,0,benign
36,43,7,3,11,2,0.659,1,1,brute_force
13,344,93,40,6,4,0.29,1,1,suspicious_data_access
6,187,16,18,15,1,0.123,1,1,reconnaissance
0,9,4,4,37,0,0.021,0,0,benign
0,6,1,1,17,0,0.006,0,0,benign
0,6,1,4,16,0,0.008,0,0,benign
1,11,4,2,26,1,0.001,0,0,benign
7,133,33,22,16,1,0.216,1,1,reconnaissance
0,3,5,6,10,0,0.018,0,0,benign
0,17,3,3,34,0,0.021,0,0,benign
19,369,123,44,4,2,0.213,1,1,suspicious_data_access
40,47,14,7,15,2,0.564,1,0,brute_force
3,11,1,4,27,0,0.004,0,0,benign
0,5,1,3,32,0,0.023,0,0,benign
10,147,25,15,13,1,0.154,1,1,reconnaissance
12,330,99,19,5,4,0.309,1,1,suspicious_data_access
13,288,114,28,2,4,0.261,1,1,suspicious_data_access
4,141,34,20,16,1,0.224,1,1,reconnaissance
0,18,2,5,29,0,0.007,0,0,benign
10,66,25,18,18,1,0.18,0,1,reconnaissance
0,11,1,3,32,0,0.003,0,0,benign
0,14,1,3,34,0,0.0,0,0,benign
7,298,113,42,3,2,0.236,1,1,suspicious_data_access
0,20,5,1,10,0,0.011,0,0,benign
1,11,2,4,34,0,0.011,0,0,benign
0,11,3,3,25,0,0.003,0,0,benign
17,208,129,40,2,3,0.291,1,1,suspicious_data_access
0,19,2,3,47,0,0.008,0,0,benign
0,11,1,2,37,0,0.044,1,0,benign
19,118,29,12,5,2,0.11,0,1,reconnaissance
0,9,3,2,41,0,0.033,0,0,benign
18,207,143,35,8,3,0.45,1,1,suspicious_data_access
4,314,76,22,5,4,0.286,1,1,suspicious_data_access
51,51,10,7,3,2,0.519,0,0,brute_force
1,11,1,4,40,0,0.008,0,0,benign
0,5,6,3,37,0,0.012,0,0,benign
7,134,8,23,8,2,0.169,1,1,reconnaissance
6,312,122,31,4,2,0.259,1,1,suspicious_data_access
44,50,9,10,7,2,0.678,1,0,brute_force
0,6,4,5,37,0,0.008,0,0,benign
0,6,2,5,42,0,0.027,0,0,benign
0,7,1,6,21,0,0.001,0,0,benign
0,6,4,1,36,0,0.025,0,0,benign
10,401,120,45,5,3,0.299,1,1,suspicious_data_access
0,7,1,5,23,1,0.008,0,0,benign
28,43,13,8,9,1,0.454,1,0,brute_force
7,124,22,15,19,2,0.124,1,1,reconnaissance
4,295,117,43,5,3,0.244,1,1,suspicious_data_access
0,6,4,3,25,0,0.008,0,0,benign
1,11,4,4,55,1,0.027,0,0,benign
0,6,2,5,31,0,0.028,0,0,benign
1,23,3,2,29,0,0.021,0,0,benign
1,12,1,2,27,0,0.003,0,0,benign
60,59,10,9,11,1,0.334,0,0,brute_force
1,21,3,2,38,0,0.009,0,0,benign
0,5,2,4,30,0,0.026,0,0,benign
2,20,1,5,40,0,0.019,1,0,benign
0,12,4,5,17,0,0.012,0,0,benign
0,17,3,4,45,0,0.007,0,0,benign
18,124,27,18,9,2,0.254,1,1,reconnaissance
39,49,9,9,10,0,0.615,1,0,brute_force
15,60,8,15,14,1,0.26,0,1,reconnaissance
1,11,1,5,29,0,0.011,0,0,benign
1,16,1,5,28,0,0.022,0,0,benign
12,231,112,33,3,2,0.196,1,1,suspicious_data_access
0,11,4,3,40,1,0.048,0,0,benign
1,5,2,1,27,0,0.002,0,0,benign
6,152,31,22,17,1,0.152,1,1,reconnaissance
66,79,11,5,8,1,0.75,1,0,brute_force
43,61,16,7,8,1,0.522,1,1,brute_force
0,11,4,3,10,0,0.006,0,0,benign
0,19,4,2,25,0,0.015,0,0,benign
8,382,72,30,6,4,0.399,1,1,suspicious_data_access
12,106,20,16,17,2,0.252,1,1,reconnaissance
13,145,24,16,14,1,0.151,1,1,reconnaissance
0,14,3,3,35,1,0.002,0,0,benign
0,21,4,1,33,0,0.002,0,0,benign
8,405,87,40,4,4,0.186,1,1,suspicious_data_access
